rowkey,deviceId,variable,value,alarmClass,timeMili,received_time,kafka_time
it_866897057705818#2023.03.27.08.21.26.000#331,it_866897057705818,IGNITION_STATUS,0,0,1679905286000,2023-03-27 08:21:31.629000 UTC,2023-03-27T13:51:26
it_866897057705818#2023.03.27.08.21.26.000#000,it_866897057705818,POSITION,"13.012860298156738,80.21105194091797,null,GPS",0,1679905286000,2023-03-27 08:21:31.623000 UTC,2023-03-27T13:51:26
it_866897057705818#2023.03.27.08.11.26.000#000,it_866897057705818,POSITION,"13.012896537780762,80.2111587524414,null,GPS",0,1679904686000,2023-03-27 08:16:35.682000 UTC,2023-03-27T13:41:26
it_866897057705818#2023.03.27.08.11.26.000#331,it_866897057705818,IGNITION_STATUS,0,0,1679904686000,2023-03-27 08:16:35.680000 UTC,2023-03-27T13:41:26
it_866897057705818#2023.03.27.08.16.27.000#000,it_866897057705818,POSITION,"13.012892723083496,80.21112823486328,null,GPS",0,1679904987000,2023-03-27 08:16:30.536000 UTC,2023-03-27T13:46:27
it_866897057705818#2023.03.27.08.16.27.000#331,it_866897057705818,IGNITION_STATUS,0,0,1679904987000,2023-03-27 08:16:30.424000 UTC,2023-03-27T13:46:27
it_866897057705818#2023.03.27.08.06.25.000#000,it_866897057705818,POSITION,"13.012863159179688,80.2110824584961,null,GPS",0,1679904385000,2023-03-27 08:06:29.899000 UTC,2023-03-27T13:36:25
it_866897057705818#2023.03.27.08.06.25.000#331,it_866897057705818,IGNITION_STATUS,0,0,1679904385000,2023-03-27 08:06:29.891000 UTC,2023-03-27T13:36:25
it_866897057705818#2023.03.27.08.01.26.000#000,it_866897057705818,POSITION,"13.01289176940918,80.2110595703125,null,GPS",0,1679904086000,2023-03-27 08:01:29.969000 UTC,2023-03-27T13:31:26
it_866897057705818#2023.03.27.08.01.26.000#331,it_866897057705818,IGNITION_STATUS,0,0,1679904086000,2023-03-27 08:01:29.965000 UTC,2023-03-27T13:31:26
it_866897057705818#2023.03.27.07.51.55.000#000,it_866897057705818,POSITION,"13.012763023376465,80.21092224121094,null,GPS",0,1679903515000,2023-03-27 07:56:34.796000 UTC,2023-03-27T13:21:55
it_866897057705818#2023.03.27.07.51.55.000#331,it_866897057705818,IGNITION_STATUS,0,0,1679903515000,2023-03-27 07:56:34.795000 UTC,2023-03-27T13:21:55
it_866897057705818#2023.03.27.07.56.25.000#000,it_866897057705818,POSITION,"13.012689590454102,80.21102905273438,null,GPS",0,1679903785000,2023-03-27 07:56:30.415000 UTC,2023-03-27T13:26:25
it_866897057705818#2023.03.27.07.56.25.000#331,it_866897057705818,IGNITION_STATUS,0,0,1679903785000,2023-03-27 07:56:30.413000 UTC,2023-03-27T13:26:25
it_866897057705818#2023.03.27.07.20.28.000#331,it_866897057705818,IGNITION_STATUS,0,0,1679901628000,2023-03-27 07:52:11.376000 UTC,2023-03-27T12:50:28
it_866897057705818#2023.03.27.07.20.28.000#000,it_866897057705818,POSITION,"13.013181686401367,80.2112045288086,null,GPS",0,1679901628000,2023-03-27 07:52:11.367000 UTC,2023-03-27T12:50:28
