rowkey,deviceId,variable,value,alarmClass,timeMili,received_time,kafka_time
it_866897057804892#2023.03.27.08.38.07.000#331,it_866897057804892,IGNITION_STATUS,0,0,1679906287000,2023-03-27 08:38:11.309000 UTC,2023-03-27T14:08:07
it_866897057804892#2023.03.27.08.38.07.000#000,it_866897057804892,POSITION,"13.093892097473145,80.28593444824219,null,GPS",0,1679906287000,2023-03-27 08:38:11.308000 UTC,2023-03-27T14:08:07
it_866897057804892#2023.03.27.08.36.44.000#000,it_866897057804892,POSITION,"13.09393310546875,80.28591918945312,null,GPS",0,1679906204000,2023-03-27 08:37:15.464000 UTC,2023-03-27T14:06:44
it_866897057804892#2023.03.27.08.36.44.000#331,it_866897057804892,IGNITION_STATUS,0,0,1679906204000,2023-03-27 08:37:15.459000 UTC,2023-03-27T14:06:44
it_866897057804892#2023.03.27.08.37.07.000#331,it_866897057804892,IGNITION_STATUS,0,0,1679906227000,2023-03-27 08:37:10.917000 UTC,2023-03-27T14:07:07
it_866897057804892#2023.03.27.08.37.07.000#000,it_866897057804892,POSITION,"13.093901634216309,80.28590393066406,null,GPS",0,1679906227000,2023-03-27 08:37:10.912000 UTC,2023-03-27T14:07:07
it_866897057804892#2023.03.27.08.04.31.000#000,it_866897057804892,POSITION,"13.093843460083008,80.28588104248047,null,GPS",0,1679904271000,2023-03-27 08:04:34.932000 UTC,2023-03-27T13:34:31
it_866897057804892#2023.03.27.08.04.31.000#331,it_866897057804892,IGNITION_STATUS,0,0,1679904271000,2023-03-27 08:04:34.884000 UTC,2023-03-27T13:34:31
it_866897057804892#2023.03.27.08.03.06.000#000,it_866897057804892,POSITION,"13.093843460083008,80.285888671875,null,GPS",0,1679904186000,2023-03-27 08:03:40.951000 UTC,2023-03-27T13:33:06
it_866897057804892#2023.03.27.08.03.06.000#331,it_866897057804892,IGNITION_STATUS,0,0,1679904186000,2023-03-27 08:03:40.940000 UTC,2023-03-27T13:33:06
it_866897057804892#2023.03.27.08.03.31.000#000,it_866897057804892,POSITION,"13.093896865844727,80.28591918945312,null,GPS",0,1679904211000,2023-03-27 08:03:35.682000 UTC,2023-03-27T13:33:31
it_866897057804892#2023.03.27.08.03.31.000#331,it_866897057804892,IGNITION_STATUS,0,0,1679904211000,2023-03-27 08:03:35.676000 UTC,2023-03-27T13:33:31
it_866897057804892#2023.03.27.07.32.25.000#331,it_866897057804892,IGNITION_STATUS,0,0,1679902345000,2023-03-27 07:32:29.182000 UTC,2023-03-27T13:02:25
it_866897057804892#2023.03.27.07.32.25.000#000,it_866897057804892,POSITION,"13.093867301940918,80.28582763671875,null,GPS",0,1679902345000,2023-03-27 07:32:29.181000 UTC,2023-03-27T13:02:25
it_866897057804892#2023.03.27.07.30.58.000#331,it_866897057804892,IGNITION_STATUS,0,0,1679902258000,2023-03-27 07:31:32.195000 UTC,2023-03-27T13:00:58
it_866897057804892#2023.03.27.07.30.58.000#000,it_866897057804892,POSITION,"13.094008445739746,80.28594970703125,null,GPS",0,1679902258000,2023-03-27 07:31:32.194000 UTC,2023-03-27T13:00:58
it_866897057804892#2023.03.27.07.31.25.000#331,it_866897057804892,IGNITION_STATUS,0,0,1679902285000,2023-03-27 07:31:29.235000 UTC,2023-03-27T13:01:25
it_866897057804892#2023.03.27.07.31.25.000#000,it_866897057804892,POSITION,"13.093976974487305,80.28585815429688,null,GPS",0,1679902285000,2023-03-27 07:31:29.231000 UTC,2023-03-27T13:01:25
it_866897057804892#2023.03.27.07.03.15.000#000,it_866897057804892,POSITION,"13.093734741210938,80.28584289550781,null,GPS",0,1679900595000,2023-03-27 07:03:20.386000 UTC,2023-03-27T12:33:15
it_866897057804892#2023.03.27.07.03.15.000#331,it_866897057804892,IGNITION_STATUS,0,0,1679900595000,2023-03-27 07:03:20.378000 UTC,2023-03-27T12:33:15
it_866897057804892#2023.03.27.07.01.47.000#000,it_866897057804892,POSITION,"13.093643188476562,80.28582000732422,null,GPS",0,1679900507000,2023-03-27 07:02:23.148000 UTC,2023-03-27T12:31:47
it_866897057804892#2023.03.27.07.01.47.000#331,it_866897057804892,IGNITION_STATUS,0,0,1679900507000,2023-03-27 07:02:23.107000 UTC,2023-03-27T12:31:47
it_866897057804892#2023.03.27.07.02.15.000#000,it_866897057804892,POSITION,"13.093689918518066,80.2858657836914,null,GPS",0,1679900535000,2023-03-27 07:02:20.356000 UTC,2023-03-27T12:32:15
it_866897057804892#2023.03.27.07.02.15.000#331,it_866897057804892,IGNITION_STATUS,0,0,1679900535000,2023-03-27 07:02:20.227000 UTC,2023-03-27T12:32:15
it_866897057804892#2023.03.27.06.29.36.000#331,it_866897057804892,IGNITION_STATUS,0,0,1679898576000,2023-03-27 06:29:41.503000 UTC,2023-03-27T11:59:36
it_866897057804892#2023.03.27.06.29.36.000#000,it_866897057804892,POSITION,"13.093774795532227,80.28580474853516,null,GPS",0,1679898576000,2023-03-27 06:29:41.500000 UTC,2023-03-27T11:59:36
it_866897057804892#2023.03.27.06.28.06.000#000,it_866897057804892,POSITION,"13.093825340270996,80.28588104248047,null,GPS",0,1679898486000,2023-03-27 06:28:45.208000 UTC,2023-03-27T11:58:06
it_866897057804892#2023.03.27.06.28.06.000#331,it_866897057804892,IGNITION_STATUS,0,0,1679898486000,2023-03-27 06:28:45.190000 UTC,2023-03-27T11:58:06
it_866897057804892#2023.03.27.06.28.36.000#000,it_866897057804892,POSITION,"13.0938081741333,80.2858657836914,null,GPS",0,1679898516000,2023-03-27 06:28:40.908000 UTC,2023-03-27T11:58:36
it_866897057804892#2023.03.27.06.28.36.000#331,it_866897057804892,IGNITION_STATUS,0,0,1679898516000,2023-03-27 06:28:40.903000 UTC,2023-03-27T11:58:36
it_866897057804892#2023.03.27.06.11.33.000#331,it_866897057804892,IGNITION_STATUS,0,0,1679897493000,2023-03-27 06:11:36.898000 UTC,2023-03-27T11:41:33
it_866897057804892#2023.03.27.06.11.33.000#000,it_866897057804892,POSITION,"13.094082832336426,80.2860336303711,null,GPS",0,1679897493000,2023-03-27 06:11:36.896000 UTC,2023-03-27T11:41:33
it_866897057804892#2023.03.27.06.10.01.000#331,it_866897057804892,IGNITION_STATUS,0,0,1679897401000,2023-03-27 06:10:41.024000 UTC,2023-03-27T11:40:01
it_866897057804892#2023.03.27.06.10.01.000#000,it_866897057804892,POSITION,"13.093901634216309,80.28581237792969,null,GPS",0,1679897401000,2023-03-27 06:10:41.023000 UTC,2023-03-27T11:40:01
it_866897057804892#2023.03.27.06.10.33.000#331,it_866897057804892,IGNITION_STATUS,0,0,1679897433000,2023-03-27 06:10:37.584000 UTC,2023-03-27T11:40:33
it_866897057804892#2023.03.27.06.10.33.000#000,it_866897057804892,POSITION,"13.094104766845703,80.28594970703125,null,GPS",0,1679897433000,2023-03-27 06:10:37.583000 UTC,2023-03-27T11:40:33
it_866897057804892#2023.03.27.05.49.07.000#000,it_866897057804892,POSITION,"13.093757629394531,80.2857666015625,null,GPS",0,1679896147000,2023-03-27 05:49:12.628000 UTC,2023-03-27T11:19:07
