rowkey,deviceId,variable,value,alarmClass,timeMili,received_time,kafka_time
it_866897057828909#2023.06.07.04.45.50.000#000,it_866897057828909,POSITION,"8.819899559020996,78.13250732421875,null,GPS",0,1686113150000,2023-06-07 04:47:44.725000 UTC,2023-06-07T10:15:50
it_866897057828909#2023.06.07.04.45.50.000#331,it_866897057828909,IGNITION_STATUS,0,0,1686113150000,2023-06-07 04:47:44.679000 UTC,2023-06-07T10:15:50
it_866897057828909#2023.06.07.04.45.50.000#311,it_866897057828909,EXTERNAL BATTERY,12.152,0,1686113150000,2023-06-07 04:47:44.678000 UTC,2023-06-07T10:15:50
it_866897057828909#2023.06.07.04.14.04.000#000,it_866897057828909,POSITION,"8.819602012634277,78.1327133178711,null,GPS",0,1686111244000,2023-06-07 04:14:07.524000 UTC,2023-06-07T09:44:04
it_866897057828909#2023.06.07.04.14.04.000#331,it_866897057828909,IGNITION_STATUS,0,0,1686111244000,2023-06-07 04:14:07.510000 UTC,2023-06-07T09:44:04
it_866897057828909#2023.06.07.04.14.04.000#311,it_866897057828909,EXTERNAL BATTERY,12.107,0,1686111244000,2023-06-07 04:14:07.509000 UTC,2023-06-07T09:44:04
it_866897057828909#2023.06.07.04.09.50.000#311,it_866897057828909,EXTERNAL BATTERY,12.152,0,1686110990000,2023-06-07 04:11:43.754000 UTC,2023-06-07T09:39:50
it_866897057828909#2023.06.07.04.09.50.000#331,it_866897057828909,IGNITION_STATUS,0,0,1686110990000,2023-06-07 04:11:43.749000 UTC,2023-06-07T09:39:50
it_866897057828909#2023.06.07.03.36.14.000#000,it_866897057828909,POSITION,"8.819778442382812,78.13250732421875,null,GPS",0,1686108974000,2023-06-07 03:36:18.195000 UTC,2023-06-07T09:06:14
it_866897057828909#2023.06.07.03.36.14.000#331,it_866897057828909,IGNITION_STATUS,0,0,1686108974000,2023-06-07 03:36:18.192000 UTC,2023-06-07T09:06:14
it_866897057828909#2023.06.07.03.36.14.000#311,it_866897057828909,EXTERNAL BATTERY,12.122,0,1686108974000,2023-06-07 03:36:18.189000 UTC,2023-06-07T09:06:14
it_866897057828909#2023.06.07.03.02.40.000#311,it_866897057828909,EXTERNAL BATTERY,12.122,0,1686106960000,2023-06-07 03:04:32.795000 UTC,2023-06-07T08:32:40
it_866897057828909#2023.06.07.03.02.40.000#331,it_866897057828909,IGNITION_STATUS,0,0,1686106960000,2023-06-07 03:04:32.790000 UTC,2023-06-07T08:32:40
it_866897057828909#2023.06.07.03.02.40.000#000,it_866897057828909,POSITION,"8.819840431213379,78.13250732421875,null,GPS",0,1686106960000,2023-06-07 03:04:32.784000 UTC,2023-06-07T08:32:40
it_866897057828909#2023.06.07.02.29.08.000#331,it_866897057828909,IGNITION_STATUS,0,0,1686104948000,2023-06-07 02:30:59.345000 UTC,2023-06-07T07:59:08
it_866897057828909#2023.06.07.02.29.08.000#000,it_866897057828909,POSITION,"8.819868087768555,78.13238525390625,null,GPS",0,1686104948000,2023-06-07 02:30:59.344000 UTC,2023-06-07T07:59:08
it_866897057828909#2023.06.07.02.29.08.000#311,it_866897057828909,EXTERNAL BATTERY,12.152,0,1686104948000,2023-06-07 02:30:59.331000 UTC,2023-06-07T07:59:08
it_866897057828909#2023.06.07.01.55.36.000#311,it_866897057828909,EXTERNAL BATTERY,12.152,0,1686102936000,2023-06-07 01:57:27.439000 UTC,2023-06-07T07:25:36
it_866897057828909#2023.06.07.01.55.36.000#000,it_866897057828909,POSITION,"8.819825172424316,78.13253021240234,null,GPS",0,1686102936000,2023-06-07 01:57:27.423000 UTC,2023-06-07T07:25:36
it_866897057828909#2023.06.07.01.55.36.000#331,it_866897057828909,IGNITION_STATUS,0,0,1686102936000,2023-06-07 01:57:27.419000 UTC,2023-06-07T07:25:36
it_866897057828909#2023.06.07.01.22.03.000#000,it_866897057828909,POSITION,"8.819907188415527,78.1326904296875,null,GPS",0,1686100923000,2023-06-07 01:23:55.985000 UTC,2023-06-07T06:52:03
it_866897057828909#2023.06.07.01.22.03.000#311,it_866897057828909,EXTERNAL BATTERY,12.152,0,1686100923000,2023-06-07 01:23:55.985000 UTC,2023-06-07T06:52:03
it_866897057828909#2023.06.07.01.22.03.000#331,it_866897057828909,IGNITION_STATUS,0,0,1686100923000,2023-06-07 01:23:55.982000 UTC,2023-06-07T06:52:03
it_866897057828909#2023.06.07.00.48.33.000#311,it_866897057828909,EXTERNAL BATTERY,12.152,0,1686098913000,2023-06-07 00:50:24.938000 UTC,2023-06-07T06:18:33
it_866897057828909#2023.06.07.00.48.33.000#000,it_866897057828909,POSITION,"8.819780349731445,78.13248443603516,null,GPS",0,1686098913000,2023-06-07 00:50:24.937000 UTC,2023-06-07T06:18:33
it_866897057828909#2023.06.07.00.48.33.000#331,it_866897057828909,IGNITION_STATUS,0,0,1686098913000,2023-06-07 00:50:24.936000 UTC,2023-06-07T06:18:33
it_866897057828909#2023.06.07.00.15.03.000#311,it_866897057828909,EXTERNAL BATTERY,12.152,0,1686096903000,2023-06-07 00:16:56.388000 UTC,2023-06-07T05:45:03
it_866897057828909#2023.06.07.00.15.03.000#000,it_866897057828909,POSITION,"8.819842338562012,78.1325912475586,null,GPS",0,1686096903000,2023-06-07 00:16:56.383000 UTC,2023-06-07T05:45:03
it_866897057828909#2023.06.07.00.15.03.000#331,it_866897057828909,IGNITION_STATUS,0,0,1686096903000,2023-06-07 00:16:56.383000 UTC,2023-06-07T05:45:03
it_866897057828909#2023.06.06.23.41.37.000#311,it_866897057828909,EXTERNAL BATTERY,12.152,0,1686094897000,2023-06-06 23:43:28.289000 UTC,2023-06-07T05:11:37
it_866897057828909#2023.06.06.23.41.37.000#331,it_866897057828909,IGNITION_STATUS,0,0,1686094897000,2023-06-06 23:43:28.269000 UTC,2023-06-07T05:11:37
it_866897057828909#2023.06.06.23.41.37.000#000,it_866897057828909,POSITION,"8.819791793823242,78.13258361816406,null,GPS",0,1686094897000,2023-06-06 23:43:28.252000 UTC,2023-06-07T05:11:37
