rowkey,deviceId,variable,value,alarmClass,timeMili,received_time,kafka_time
it_866897057670616#2023.06.07.04.41.28.000#000,it_866897057670616,POSITION,"25.219772338867188,85.50382232666016,null,GPS",0,1686112888000,2023-06-07 04:41:35.130000 UTC,2023-06-07T10:11:28
it_866897057670616#2023.06.07.04.41.28.000#1112,it_866897057670616,ENGINE RPM,1245.5,0,1686112888000,2023-06-07 04:41:35.128000 UTC,2023-06-07T10:11:28
it_866897057670616#2023.06.07.04.41.28.000#331,it_866897057670616,IGNITION_STATUS,1,0,1686112888000,2023-06-07 04:41:34.954000 UTC,2023-06-07T10:11:28
it_866897057670616#2023.06.07.04.41.28.000#311,it_866897057670616,EXTERNAL BATTERY,14.02,0,1686112888000,2023-06-07 04:41:34.944000 UTC,2023-06-07T10:11:28
it_866897057670616#2023.06.07.04.41.27.000#1112,it_866897057670616,ENGINE RPM,1224.5,0,1686112887000,2023-06-07 04:41:32.622000 UTC,2023-06-07T10:11:27
it_866897057670616#2023.06.07.04.41.27.000#000,it_866897057670616,POSITION,"25.219820022583008,85.50393676757812,null,GPS",0,1686112887000,2023-06-07 04:41:32.614000 UTC,2023-06-07T10:11:27
it_866897057670616#2023.06.07.04.41.27.000#1113,it_866897057670616,Vehicle speed,19,0,1686112887000,2023-06-07 04:41:32.598000 UTC,2023-06-07T10:11:27
it_866897057670616#2023.06.07.04.41.27.000#331,it_866897057670616,IGNITION_STATUS,1,0,1686112887000,2023-06-07 04:41:32.365000 UTC,2023-06-07T10:11:27
it_866897057670616#2023.06.07.04.41.27.000#311,it_866897057670616,EXTERNAL BATTERY,14.02,0,1686112887000,2023-06-07 04:41:32.360000 UTC,2023-06-07T10:11:27
it_866897057670616#2023.06.07.04.41.17.000#1112,it_866897057670616,ENGINE RPM,1177.5,0,1686112877000,2023-06-07 04:41:23.394000 UTC,2023-06-07T10:11:17
it_866897057670616#2023.06.07.04.41.17.000#000,it_866897057670616,POSITION,"25.219968795776367,85.50443267822266,null,GPS",0,1686112877000,2023-06-07 04:41:23.297000 UTC,2023-06-07T10:11:17
it_866897057670616#2023.06.07.04.41.17.000#1113,it_866897057670616,Vehicle speed,18,0,1686112877000,2023-06-07 04:41:23.286000 UTC,2023-06-07T10:11:17
it_866897057670616#2023.06.07.04.41.17.000#331,it_866897057670616,IGNITION_STATUS,1,0,1686112877000,2023-06-07 04:41:22.897000 UTC,2023-06-07T10:11:17
it_866897057670616#2023.06.07.04.41.17.000#311,it_866897057670616,EXTERNAL BATTERY,13.856,0,1686112877000,2023-06-07 04:41:22.896000 UTC,2023-06-07T10:11:17
it_866897057670616#2023.06.07.04.41.07.000#000,it_866897057670616,POSITION,"25.220054626464844,85.5047607421875,null,GPS",0,1686112867000,2023-06-07 04:41:11.602000 UTC,2023-06-07T10:11:07
