rowkey,deviceId,variable,value,alarmClass,timeMili,received_time,kafka_time
it_866897057706519#2023.06.07.04.42.27.000#331,it_866897057706519,IGNITION_STATUS,0,0,1686112947000,2023-06-07 04:44:33.836000 UTC,2023-06-07T10:12:27
it_866897057706519#2023.06.07.04.42.27.000#311,it_866897057706519,EXTERNAL BATTERY,12.824,0,1686112947000,2023-06-07 04:44:33.832000 UTC,2023-06-07T10:12:27
it_866897057706519#2023.06.07.04.07.53.000#311,it_866897057706519,EXTERNAL BATTERY,12.884,0,1686110873000,2023-06-07 04:11:09.638000 UTC,2023-06-07T09:37:53
it_866897057706519#2023.06.07.04.07.53.000#331,it_866897057706519,IGNITION_STATUS,0,0,1686110873000,2023-06-07 04:11:09.636000 UTC,2023-06-07T09:37:53
it_866897057706519#2023.06.07.04.03.46.000#331,it_866897057706519,IGNITION_STATUS,0,0,1686110626000,2023-06-07 04:09:37.688000 UTC,2023-06-07T09:33:46
it_866897057706519#2023.06.07.04.03.34.000#331,it_866897057706519,IGNITION_STATUS,0,0,1686110614000,2023-06-07 04:09:37.684000 UTC,2023-06-07T09:33:34
it_866897057706519#2023.06.07.04.03.34.000#311,it_866897057706519,EXTERNAL BATTERY,12.974,0,1686110614000,2023-06-07 04:09:37.680000 UTC,2023-06-07T09:33:34
it_866897057706519#2023.06.07.04.03.46.000#311,it_866897057706519,EXTERNAL BATTERY,12.914,0,1686110626000,2023-06-07 04:09:37.676000 UTC,2023-06-07T09:33:46
it_866897057706519#2023.06.07.03.55.26.000#1112,it_866897057706519,ENGINE RPM,0.0,0,1686110126000,2023-06-07 03:55:32.856000 UTC,2023-06-07T09:25:26
it_866897057706519#2023.06.07.03.55.26.000#000,it_866897057706519,POSITION,"12.960887908935547,80.14583587646484,null,GPS",0,1686110126000,2023-06-07 03:55:32.855000 UTC,2023-06-07T09:25:26
it_866897057706519#2023.06.07.03.55.26.000#1113,it_866897057706519,Vehicle speed,0,0,1686110126000,2023-06-07 03:55:32.811000 UTC,2023-06-07T09:25:26
it_866897057706519#2023.06.07.03.55.26.000#331,it_866897057706519,IGNITION_STATUS,1,0,1686110126000,2023-06-07 03:55:30.894000 UTC,2023-06-07T09:25:26
it_866897057706519#2023.06.07.03.55.26.000#311,it_866897057706519,EXTERNAL BATTERY,13.871,0,1686110126000,2023-06-07 03:55:30.892000 UTC,2023-06-07T09:25:26
it_866897057706519#2023.06.07.03.47.44.000#000,it_866897057706519,POSITION,"12.961079597473145,80.13639831542969,null,GPS",0,1686109664000,2023-06-07 03:47:49.695000 UTC,2023-06-07T09:17:44
it_866897057706519#2023.06.07.03.47.44.000#311,it_866897057706519,EXTERNAL BATTERY,13.751,0,1686109664000,2023-06-07 03:47:49.695000 UTC,2023-06-07T09:17:44
it_866897057706519#2023.06.07.03.47.44.000#331,it_866897057706519,IGNITION_STATUS,1,0,1686109664000,2023-06-07 03:47:49.692000 UTC,2023-06-07T09:17:44
it_866897057706519#2023.06.07.03.47.44.000#1112,it_866897057706519,ENGINE RPM,829.25,0,1686109664000,2023-06-07 03:47:49.406000 UTC,2023-06-07T09:17:44
it_866897057706519#2023.06.07.03.47.44.000#1113,it_866897057706519,Vehicle speed,0,0,1686109664000,2023-06-07 03:47:49.399000 UTC,2023-06-07T09:17:44
it_866897057706519#2023.06.07.03.47.34.000#000,it_866897057706519,POSITION,"12.96107006072998,80.1363754272461,null,GPS",0,1686109654000,2023-06-07 03:47:38.571000 UTC,2023-06-07T09:17:34
it_866897057706519#2023.06.07.03.47.34.000#331,it_866897057706519,IGNITION_STATUS,1,0,1686109654000,2023-06-07 03:47:38.562000 UTC,2023-06-07T09:17:34
it_866897057706519#2023.06.07.03.47.34.000#311,it_866897057706519,EXTERNAL BATTERY,13.467,0,1686109654000,2023-06-07 03:47:38.561000 UTC,2023-06-07T09:17:34
it_866897057706519#2023.06.07.03.47.34.000#1112,it_866897057706519,ENGINE RPM,861.5,0,1686109654000,2023-06-07 03:47:38.441000 UTC,2023-06-07T09:17:34
it_866897057706519#2023.06.07.03.47.34.000#1113,it_866897057706519,Vehicle speed,2,0,1686109654000,2023-06-07 03:47:38.437000 UTC,2023-06-07T09:17:34
it_866897057706519#2023.06.07.03.47.24.000#000,it_866897057706519,POSITION,"12.961043357849121,80.13629150390625,null,GPS",0,1686109644000,2023-06-07 03:47:29.212000 UTC,2023-06-07T09:17:24
it_866897057706519#2023.06.07.03.47.24.000#1112,it_866897057706519,ENGINE RPM,1065.5,0,1686109644000,2023-06-07 03:47:29.208000 UTC,2023-06-07T09:17:24
it_866897057706519#2023.06.07.03.47.24.000#331,it_866897057706519,IGNITION_STATUS,1,0,1686109644000,2023-06-07 03:47:29.207000 UTC,2023-06-07T09:17:24
it_866897057706519#2023.06.07.03.47.24.000#311,it_866897057706519,EXTERNAL BATTERY,13.781,0,1686109644000,2023-06-07 03:47:29.206000 UTC,2023-06-07T09:17:24
it_866897057706519#2023.06.07.03.47.24.000#1113,it_866897057706519,Vehicle speed,3,0,1686109644000,2023-06-07 03:47:29.186000 UTC,2023-06-07T09:17:24
it_866897057706519#2023.06.07.03.47.14.000#000,it_866897057706519,POSITION,"12.9610595703125,80.13623809814453,null,GPS",0,1686109634000,2023-06-07 03:47:21.091000 UTC,2023-06-07T09:17:14
it_866897057706519#2023.06.07.03.47.14.000#1112,it_866897057706519,ENGINE RPM,893.75,0,1686109634000,2023-06-07 03:47:21.079000 UTC,2023-06-07T09:17:14
it_866897057706519#2023.06.07.03.47.14.000#1113,it_866897057706519,Vehicle speed,1,0,1686109634000,2023-06-07 03:47:21.075000 UTC,2023-06-07T09:17:14
it_866897057706519#2023.06.07.03.47.14.000#311,it_866897057706519,EXTERNAL BATTERY,13.721,0,1686109634000,2023-06-07 03:47:18.892000 UTC,2023-06-07T09:17:14
it_866897057706519#2023.06.07.03.47.14.000#331,it_866897057706519,IGNITION_STATUS,1,0,1686109634000,2023-06-07 03:47:18.887000 UTC,2023-06-07T09:17:14
it_866897057706519#2023.06.07.03.47.05.000#000,it_866897057706519,POSITION,"12.961045265197754,80.13597106933594,null,GPS",0,1686109625000,2023-06-07 03:47:10.465000 UTC,2023-06-07T09:17:05
it_866897057706519#2023.06.07.03.47.05.000#1112,it_866897057706519,ENGINE RPM,1106.25,0,1686109625000,2023-06-07 03:47:10.465000 UTC,2023-06-07T09:17:05
it_866897057706519#2023.06.07.03.47.05.000#311,it_866897057706519,EXTERNAL BATTERY,13.885,0,1686109625000,2023-06-07 03:47:08.752000 UTC,2023-06-07T09:17:05
it_866897057706519#2023.06.07.03.47.05.000#331,it_866897057706519,IGNITION_STATUS,1,0,1686109625000,2023-06-07 03:47:08.748000 UTC,2023-06-07T09:17:05
it_866897057706519#2023.06.07.03.46.54.000#000,it_866897057706519,POSITION,"12.961009979248047,80.13550567626953,null,GPS",0,1686109614000,2023-06-07 03:47:00.577000 UTC,2023-06-07T09:16:54
