rowkey,deviceId,variable,value,alarmClass,timeMili,received_time,kafka_time
it_866897057705818#2023.03.14.07.29.43.000#000,it_866897057705818,POSITION,"13.013148307800293,80.2109146118164,null,GPS",0,1678778983000,2023-03-14 07:29:50.065000 UTC,2023-03-14T12:59:43
it_866897057705818#2023.03.14.07.29.43.000#331,it_866897057705818,IGNITION_STATUS,1,0,1678778983000,2023-03-14 07:29:50.064000 UTC,2023-03-14T12:59:43
it_866897057705818#2023.03.14.07.29.43.000#1112,it_866897057705818,ENGINE RPM,796.0,0,1678778983000,2023-03-14 07:29:48.666000 UTC,2023-03-14T12:59:43
it_866897057705818#2023.03.14.07.29.43.000#1113,it_866897057705818,Vehicle speed,11,0,1678778983000,2023-03-14 07:29:48.654000 UTC,2023-03-14T12:59:43
it_866897057705818#2023.03.14.07.29.41.000#000,it_866897057705818,POSITION,"13.013097763061523,80.21089172363281,null,GPS",0,1678778981000,2023-03-14 07:29:45.701000 UTC,2023-03-14T12:59:41
it_866897057705818#2023.03.14.07.29.41.000#331,it_866897057705818,IGNITION_STATUS,1,0,1678778981000,2023-03-14 07:29:45.699000 UTC,2023-03-14T12:59:41
it_866897057705818#2023.03.14.07.29.41.000#1112,it_866897057705818,ENGINE RPM,1067.0,0,1678778981000,2023-03-14 07:29:45.698000 UTC,2023-03-14T12:59:41
it_866897057705818#2023.03.14.07.29.41.000#1113,it_866897057705818,Vehicle speed,16,0,1678778981000,2023-03-14 07:29:45.661000 UTC,2023-03-14T12:59:41
it_866897057705818#2023.03.14.07.29.18.000#000,it_866897057705818,POSITION,"13.013275146484375,80.2098617553711,null,GPS",0,1678778958000,2023-03-14 07:29:25.221000 UTC,2023-03-14T12:59:18
it_866897057705818#2023.03.14.07.29.18.000#331,it_866897057705818,IGNITION_STATUS,1,0,1678778958000,2023-03-14 07:29:25.219000 UTC,2023-03-14T12:59:18
it_866897057705818#2023.03.14.07.29.18.000#1112,it_866897057705818,ENGINE RPM,1243.0,0,1678778958000,2023-03-14 07:29:25.218000 UTC,2023-03-14T12:59:18
it_866897057705818#2023.03.14.07.29.18.000#1113,it_866897057705818,Vehicle speed,17,0,1678778958000,2023-03-14 07:29:25.203000 UTC,2023-03-14T12:59:18
it_866897057705818#2023.03.14.07.29.09.000#000,it_866897057705818,POSITION,"13.0131254196167,80.20941162109375,null,GPS",0,1678778949000,2023-03-14 07:29:15.319000 UTC,2023-03-14T12:59:09
it_866897057705818#2023.03.14.07.29.09.000#1112,it_866897057705818,ENGINE RPM,1413.5,0,1678778949000,2023-03-14 07:29:15.319000 UTC,2023-03-14T12:59:09
it_866897057705818#2023.03.14.07.29.09.000#1113,it_866897057705818,Vehicle speed,29,0,1678778949000,2023-03-14 07:29:15.299000 UTC,2023-03-14T12:59:09
it_866897057705818#2023.03.14.07.29.09.000#331,it_866897057705818,IGNITION_STATUS,1,0,1678778949000,2023-03-14 07:29:14.673000 UTC,2023-03-14T12:59:09
it_866897057705818#2023.03.14.07.28.47.000#331,it_866897057705818,IGNITION_STATUS,1,0,1678778927000,2023-03-14 07:28:53.896000 UTC,2023-03-14T12:58:47
it_866897057705818#2023.03.14.07.28.47.000#000,it_866897057705818,POSITION,"13.012872695922852,80.20802307128906,null,GPS",0,1678778927000,2023-03-14 07:28:53.894000 UTC,2023-03-14T12:58:47
it_866897057705818#2023.03.14.07.28.47.000#1112,it_866897057705818,ENGINE RPM,1231.5,0,1678778927000,2023-03-14 07:28:53.894000 UTC,2023-03-14T12:58:47
it_866897057705818#2023.03.14.07.28.47.000#1113,it_866897057705818,Vehicle speed,26,0,1678778927000,2023-03-14 07:28:53.831000 UTC,2023-03-14T12:58:47
it_866897057705818#2023.03.14.07.27.51.000#000,it_866897057705818,POSITION,"13.013625144958496,80.2043685913086,null,GPS",0,1678778871000,2023-03-14 07:27:56.205000 UTC,2023-03-14T12:57:51
it_866897057705818#2023.03.14.07.27.51.000#1112,it_866897057705818,ENGINE RPM,970.0,0,1678778871000,2023-03-14 07:27:56.203000 UTC,2023-03-14T12:57:51
it_866897057705818#2023.03.14.07.27.51.000#1113,it_866897057705818,Vehicle speed,13,0,1678778871000,2023-03-14 07:27:56.198000 UTC,2023-03-14T12:57:51
it_866897057705818#2023.03.14.07.27.51.000#331,it_866897057705818,IGNITION_STATUS,1,0,1678778871000,2023-03-14 07:27:55.697000 UTC,2023-03-14T12:57:51
it_866897057705818#2023.03.14.07.25.53.000#1112,it_866897057705818,ENGINE RPM,796.5,0,1678778753000,2023-03-14 07:25:57.924000 UTC,2023-03-14T12:55:53
it_866897057705818#2023.03.14.07.25.53.000#331,it_866897057705818,IGNITION_STATUS,1,0,1678778753000,2023-03-14 07:25:57.924000 UTC,2023-03-14T12:55:53
it_866897057705818#2023.03.14.07.25.53.000#000,it_866897057705818,POSITION,"13.013620376586914,80.20420837402344,null,GPS",0,1678778753000,2023-03-14 07:25:57.923000 UTC,2023-03-14T12:55:53
it_866897057705818#2023.03.14.07.25.53.000#1113,it_866897057705818,Vehicle speed,0,0,1678778753000,2023-03-14 07:25:57.908000 UTC,2023-03-14T12:55:53
it_866897057705818#2023.03.14.07.25.02.000#1112,it_866897057705818,ENGINE RPM,1819.0,0,1678778702000,2023-03-14 07:25:54.526000 UTC,2023-03-14T12:55:02
it_866897057705818#2023.03.14.07.24.58.000#1112,it_866897057705818,ENGINE RPM,2060.0,0,1678778698000,2023-03-14 07:25:54.525000 UTC,2023-03-14T12:54:58
it_866897057705818#2023.03.14.07.24.58.000#000,it_866897057705818,POSITION,"13.007962226867676,80.20374298095703,null,GPS",0,1678778698000,2023-03-14 07:25:54.524000 UTC,2023-03-14T12:54:58
it_866897057705818#2023.03.14.07.25.02.000#000,it_866897057705818,POSITION,"13.0084228515625,80.2037124633789,null,GPS",0,1678778702000,2023-03-14 07:25:54.524000 UTC,2023-03-14T12:55:02
it_866897057705818#2023.03.14.07.24.58.000#1113,it_866897057705818,Vehicle speed,59,0,1678778698000,2023-03-14 07:25:54.523000 UTC,2023-03-14T12:54:58
it_866897057705818#2023.03.14.07.25.02.000#1113,it_866897057705818,Vehicle speed,67,3,1678778702000,2023-03-14 07:25:54.518000 UTC,2023-03-14T12:55:02
it_866897057705818#2023.03.14.07.24.58.000#331,it_866897057705818,IGNITION_STATUS,1,0,1678778698000,2023-03-14 07:25:54.197000 UTC,2023-03-14T12:54:58
it_866897057705818#2023.03.14.07.25.02.000#331,it_866897057705818,IGNITION_STATUS,1,0,1678778702000,2023-03-14 07:25:54.197000 UTC,2023-03-14T12:55:02
it_866897057705818#2023.03.14.07.25.43.000#331,it_866897057705818,IGNITION_STATUS,1,0,1678778743000,2023-03-14 07:25:52.383000 UTC,2023-03-14T12:55:43
it_866897057705818#2023.03.14.07.25.43.000#000,it_866897057705818,POSITION,"13.013585090637207,80.20418548583984,null,GPS",0,1678778743000,2023-03-14 07:25:52.382000 UTC,2023-03-14T12:55:43
it_866897057705818#2023.03.14.07.25.43.000#1112,it_866897057705818,ENGINE RPM,1829.0,0,1678778743000,2023-03-14 07:25:51.926000 UTC,2023-03-14T12:55:43
it_866897057705818#2023.03.14.07.25.43.000#1113,it_866897057705818,Vehicle speed,3,0,1678778743000,2023-03-14 07:25:51.918000 UTC,2023-03-14T12:55:43
it_866897057705818#2023.03.14.07.24.38.000#000,it_866897057705818,POSITION,"13.006723403930664,80.20257568359375,null,GPS",0,1678778678000,2023-03-14 07:25:49.451000 UTC,2023-03-14T12:54:38
it_866897057705818#2023.03.14.07.24.53.000#000,it_866897057705818,POSITION,"13.007254600524902,80.2035903930664,null,GPS",0,1678778693000,2023-03-14 07:25:49.450000 UTC,2023-03-14T12:54:53
it_866897057705818#2023.03.14.07.24.53.000#1112,it_866897057705818,ENGINE RPM,1308.5,0,1678778693000,2023-03-14 07:25:49.450000 UTC,2023-03-14T12:54:53
it_866897057705818#2023.03.14.07.24.38.000#331,it_866897057705818,IGNITION_STATUS,1,0,1678778678000,2023-03-14 07:25:49.449000 UTC,2023-03-14T12:54:38
it_866897057705818#2023.03.14.07.24.53.000#331,it_866897057705818,IGNITION_STATUS,1,0,1678778693000,2023-03-14 07:25:49.449000 UTC,2023-03-14T12:54:53
it_866897057705818#2023.03.14.07.24.38.000#1112,it_866897057705818,ENGINE RPM,1254.0,0,1678778678000,2023-03-14 07:25:49.445000 UTC,2023-03-14T12:54:38
it_866897057705818#2023.03.14.07.24.53.000#1113,it_866897057705818,Vehicle speed,37,0,1678778693000,2023-03-14 07:25:49.403000 UTC,2023-03-14T12:54:53
