rowkey,deviceId,variable,value,alarmClass,timeMili,received_time,kafka_time
it_866897057705818#2023.03.15.23.41.02.000#000,it_866897057705818,POSITION,"12.924969673156738,80.22863006591797,null,GPS",0,1678923662000,2023-03-15 23:42:51.916000 UTC,2023-03-16T05:11:02
it_866897057705818#2023.03.15.23.41.02.000#331,it_866897057705818,IGNITION_STATUS,0,0,1678923662000,2023-03-15 23:42:51.916000 UTC,2023-03-16T05:11:02
it_866897057705818#2023.03.15.23.18.49.000#000,it_866897057705818,POSITION,"12.924895286560059,80.22868347167969,null,GPS",0,1678922329000,2023-03-15 23:20:43.777000 UTC,2023-03-16T04:48:49
it_866897057705818#2023.03.15.23.18.49.000#331,it_866897057705818,IGNITION_STATUS,0,0,1678922329000,2023-03-15 23:20:43.767000 UTC,2023-03-16T04:48:49
it_866897057705818#2023.03.15.22.45.21.000#000,it_866897057705818,POSITION,"12.925045013427734,80.22863006591797,null,GPS",0,1678920321000,2023-03-15 22:47:16.022000 UTC,2023-03-16T04:15:21
it_866897057705818#2023.03.15.22.45.21.000#331,it_866897057705818,IGNITION_STATUS,0,0,1678920321000,2023-03-15 22:47:16.013000 UTC,2023-03-16T04:15:21
it_866897057705818#2023.03.15.22.11.53.000#331,it_866897057705818,IGNITION_STATUS,0,0,1678918313000,2023-03-15 22:13:48.748000 UTC,2023-03-16T03:41:53
it_866897057705818#2023.03.15.22.11.53.000#000,it_866897057705818,POSITION,"12.924898147583008,80.22853088378906,null,GPS",0,1678918313000,2023-03-15 22:13:48.747000 UTC,2023-03-16T03:41:53
it_866897057705818#2023.03.15.21.38.28.000#331,it_866897057705818,IGNITION_STATUS,0,0,1678916308000,2023-03-15 21:40:24.474000 UTC,2023-03-16T03:08:28
it_866897057705818#2023.03.15.21.38.28.000#000,it_866897057705818,POSITION,"12.924967765808105,80.22880554199219,null,GPS",0,1678916308000,2023-03-15 21:40:24.473000 UTC,2023-03-16T03:08:28
it_866897057705818#2023.03.15.21.04.56.000#000,it_866897057705818,POSITION,"12.9241304397583,80.22913360595703,null,GPS",0,1678914296000,2023-03-15 21:06:55.891000 UTC,2023-03-16T02:34:56
it_866897057705818#2023.03.15.21.04.56.000#331,it_866897057705818,IGNITION_STATUS,0,0,1678914296000,2023-03-15 21:06:55.884000 UTC,2023-03-16T02:34:56
it_866897057705818#2023.03.15.20.31.30.000#331,it_866897057705818,IGNITION_STATUS,0,0,1678912290000,2023-03-15 20:33:27.235000 UTC,2023-03-16T02:01:30
it_866897057705818#2023.03.15.19.58.01.000#000,it_866897057705818,POSITION,"12.924724578857422,80.22854614257812,null,GPS",0,1678910281000,2023-03-15 20:00:02.517000 UTC,2023-03-16T01:28:01
it_866897057705818#2023.03.15.19.58.01.000#331,it_866897057705818,IGNITION_STATUS,0,0,1678910281000,2023-03-15 20:00:02.507000 UTC,2023-03-16T01:28:01
it_866897057705818#2023.03.15.19.24.34.000#000,it_866897057705818,POSITION,"12.924153327941895,80.22820281982422,null,GPS",0,1678908274000,2023-03-15 19:26:35.478000 UTC,2023-03-16T00:54:34
it_866897057705818#2023.03.15.19.24.34.000#331,it_866897057705818,IGNITION_STATUS,0,0,1678908274000,2023-03-15 19:26:35.446000 UTC,2023-03-16T00:54:34
it_866897057705818#2023.03.15.18.51.05.000#000,it_866897057705818,POSITION,"12.924927711486816,80.2287368774414,null,GPS",0,1678906265000,2023-03-15 18:53:08.652000 UTC,2023-03-16T00:21:05
it_866897057705818#2023.03.15.18.51.05.000#331,it_866897057705818,IGNITION_STATUS,0,0,1678906265000,2023-03-15 18:53:08.650000 UTC,2023-03-16T00:21:05
it_866897057705818#2023.03.15.18.17.36.000#331,it_866897057705818,IGNITION_STATUS,0,0,1678904256000,2023-03-15 18:19:40.399000 UTC,2023-03-15T23:47:36
it_866897057705818#2023.03.15.18.17.36.000#000,it_866897057705818,POSITION,"12.924847602844238,80.22853088378906,null,GPS",0,1678904256000,2023-03-15 18:19:40.392000 UTC,2023-03-15T23:47:36
it_866897057705818#2023.03.15.17.44.11.000#331,it_866897057705818,IGNITION_STATUS,0,0,1678902251000,2023-03-15 17:44:14.806000 UTC,2023-03-15T23:14:11
it_866897057705818#2023.03.15.17.44.11.000#000,it_866897057705818,POSITION,"12.92499828338623,80.22868347167969,null,GPS",0,1678902251000,2023-03-15 17:44:14.805000 UTC,2023-03-15T23:14:11
it_866897057705818#2023.03.15.17.10.46.000#000,it_866897057705818,POSITION,"12.924962997436523,80.22891998291016,null,GPS",0,1678900246000,2023-03-15 17:12:47.839000 UTC,2023-03-15T22:40:46
it_866897057705818#2023.03.15.17.10.46.000#331,it_866897057705818,IGNITION_STATUS,0,0,1678900246000,2023-03-15 17:12:47.839000 UTC,2023-03-15T22:40:46
it_866897057705818#2023.03.15.16.37.19.000#331,it_866897057705818,IGNITION_STATUS,0,0,1678898239000,2023-03-15 16:39:25.550000 UTC,2023-03-15T22:07:19
it_866897057705818#2023.03.15.16.37.19.000#000,it_866897057705818,POSITION,"12.92519760131836,80.22904968261719,null,GPS",0,1678898239000,2023-03-15 16:39:25.543000 UTC,2023-03-15T22:07:19
it_866897057705818#2023.03.15.16.03.53.000#331,it_866897057705818,IGNITION_STATUS,0,0,1678896233000,2023-03-15 16:05:59.412000 UTC,2023-03-15T21:33:53
it_866897057705818#2023.03.15.16.03.53.000#000,it_866897057705818,POSITION,"12.924750328063965,80.22853088378906,null,GPS",0,1678896233000,2023-03-15 16:05:59.411000 UTC,2023-03-15T21:33:53
it_866897057705818#2023.03.15.15.30.28.000#331,it_866897057705818,IGNITION_STATUS,0,0,1678894228000,2023-03-15 15:32:35.045000 UTC,2023-03-15T21:00:28
it_866897057705818#2023.03.15.15.30.28.000#000,it_866897057705818,POSITION,"12.924548149108887,80.22840881347656,null,GPS",0,1678894228000,2023-03-15 15:32:35.044000 UTC,2023-03-15T21:00:28
it_866897057705818#2023.03.15.14.56.59.000#331,it_866897057705818,IGNITION_STATUS,0,0,1678892219000,2023-03-15 14:59:08.700000 UTC,2023-03-15T20:26:59
it_866897057705818#2023.03.15.14.56.59.000#000,it_866897057705818,POSITION,"12.925000190734863,80.22864532470703,null,GPS",0,1678892219000,2023-03-15 14:59:08.694000 UTC,2023-03-15T20:26:59
