rowkey,deviceId,variable,value,alarmClass,timeMili,received_time,kafka_time
it_866897057706519#2023.05.15.09.39.10.000#311,it_866897057706519,EXTERNAL BATTERY,12.779,0,1684143550000,2023-05-15 09:41:05.662000 UTC,2023-05-15T15:09:10
it_866897057706519#2023.05.15.09.39.10.000#331,it_866897057706519,IGNITION_STATUS,0,0,1684143550000,2023-05-15 09:41:05.653000 UTC,2023-05-15T15:09:10
it_866897057706519#2023.05.15.09.39.10.000#000,it_866897057706519,POSITION,"13.092390060424805,80.17457580566406,null,GPS",0,1684143550000,2023-05-15 09:41:05.647000 UTC,2023-05-15T15:09:10
it_866897057706519#2023.05.15.09.21.13.000#000,it_866897057706519,POSITION,"13.09239673614502,80.1745834350586,null,GPS",0,1684142473000,2023-05-15 09:21:17.252000 UTC,2023-05-15T14:51:13
it_866897057706519#2023.05.15.09.21.13.000#331,it_866897057706519,IGNITION_STATUS,0,0,1684142473000,2023-05-15 09:21:17.250000 UTC,2023-05-15T14:51:13
it_866897057706519#2023.05.15.09.21.13.000#311,it_866897057706519,EXTERNAL BATTERY,13.019,0,1684142473000,2023-05-15 09:21:17.248000 UTC,2023-05-15T14:51:13
it_866897057706519#2023.05.15.09.20.55.000#311,it_866897057706519,EXTERNAL BATTERY,13.019,0,1684142455000,2023-05-15 09:20:59.857000 UTC,2023-05-15T14:50:55
it_866897057706519#2023.05.15.09.20.55.000#000,it_866897057706519,POSITION,"13.092394828796387,80.17462158203125,null,GPS",0,1684142455000,2023-05-15 09:20:59.853000 UTC,2023-05-15T14:50:55
it_866897057706519#2023.05.15.09.20.55.000#331,it_866897057706519,IGNITION_STATUS,1,0,1684142455000,2023-05-15 09:20:59.852000 UTC,2023-05-15T14:50:55
it_866897057706519#2023.05.15.09.20.55.000#1112,it_866897057706519,ENGINE RPM,0.0,0,1684142455000,2023-05-15 09:20:59.788000 UTC,2023-05-15T14:50:55
it_866897057706519#2023.05.15.09.20.45.000#1112,it_866897057706519,ENGINE RPM,0.0,0,1684142445000,2023-05-15 09:20:51.258000 UTC,2023-05-15T14:50:45
it_866897057706519#2023.05.15.09.20.45.000#000,it_866897057706519,POSITION,"13.092448234558105,80.17460632324219,null,GPS",0,1684142445000,2023-05-15 09:20:51.254000 UTC,2023-05-15T14:50:45
it_866897057706519#2023.05.15.09.20.45.000#331,it_866897057706519,IGNITION_STATUS,1,0,1684142445000,2023-05-15 09:20:50.673000 UTC,2023-05-15T14:50:45
it_866897057706519#2023.05.15.09.20.45.000#311,it_866897057706519,EXTERNAL BATTERY,13.183,0,1684142445000,2023-05-15 09:20:50.668000 UTC,2023-05-15T14:50:45
it_866897057706519#2023.05.15.09.20.35.000#000,it_866897057706519,POSITION,"13.092445373535156,80.17457580566406,null,GPS",0,1684142435000,2023-05-15 09:20:40.224000 UTC,2023-05-15T14:50:35
it_866897057706519#2023.05.15.09.20.35.000#1112,it_866897057706519,ENGINE RPM,0.0,0,1684142435000,2023-05-15 09:20:40.224000 UTC,2023-05-15T14:50:35
it_866897057706519#2023.05.15.09.20.35.000#331,it_866897057706519,IGNITION_STATUS,1,0,1684142435000,2023-05-15 09:20:40.002000 UTC,2023-05-15T14:50:35
it_866897057706519#2023.05.15.09.20.35.000#311,it_866897057706519,EXTERNAL BATTERY,13.183,0,1684142435000,2023-05-15 09:20:39.999000 UTC,2023-05-15T14:50:35
it_866897057706519#2023.05.15.09.20.25.000#1112,it_866897057706519,ENGINE RPM,841.0,0,1684142425000,2023-05-15 09:20:30.256000 UTC,2023-05-15T14:50:25
it_866897057706519#2023.05.15.09.20.25.000#311,it_866897057706519,EXTERNAL BATTERY,13.646,0,1684142425000,2023-05-15 09:20:30.256000 UTC,2023-05-15T14:50:25
it_866897057706519#2023.05.15.09.20.25.000#331,it_866897057706519,IGNITION_STATUS,1,0,1684142425000,2023-05-15 09:20:30.255000 UTC,2023-05-15T14:50:25
it_866897057706519#2023.05.15.09.20.25.000#000,it_866897057706519,POSITION,"13.092443466186523,80.17454528808594,null,GPS",0,1684142425000,2023-05-15 09:20:30.249000 UTC,2023-05-15T14:50:25
it_866897057706519#2023.05.15.09.20.15.000#000,it_866897057706519,POSITION,"13.092445373535156,80.1745376586914,null,GPS",0,1684142415000,2023-05-15 09:20:20.158000 UTC,2023-05-15T14:50:15
it_866897057706519#2023.05.15.09.20.15.000#311,it_866897057706519,EXTERNAL BATTERY,13.542,0,1684142415000,2023-05-15 09:20:20.155000 UTC,2023-05-15T14:50:15
it_866897057706519#2023.05.15.09.20.15.000#331,it_866897057706519,IGNITION_STATUS,1,0,1684142415000,2023-05-15 09:20:20.152000 UTC,2023-05-15T14:50:15
it_866897057706519#2023.05.15.09.20.15.000#1112,it_866897057706519,ENGINE RPM,848.5,0,1684142415000,2023-05-15 09:20:20.004000 UTC,2023-05-15T14:50:15
it_866897057706519#2023.05.15.09.20.05.000#1112,it_866897057706519,ENGINE RPM,842.5,0,1684142405000,2023-05-15 09:20:09.739000 UTC,2023-05-15T14:50:05
it_866897057706519#2023.05.15.09.20.05.000#000,it_866897057706519,POSITION,"13.092427253723145,80.17456817626953,null,GPS",0,1684142405000,2023-05-15 09:20:09.736000 UTC,2023-05-15T14:50:05
it_866897057706519#2023.05.15.09.20.05.000#331,it_866897057706519,IGNITION_STATUS,1,0,1684142405000,2023-05-15 09:20:08.858000 UTC,2023-05-15T14:50:05
it_866897057706519#2023.05.15.09.20.05.000#311,it_866897057706519,EXTERNAL BATTERY,13.691,0,1684142405000,2023-05-15 09:20:08.857000 UTC,2023-05-15T14:50:05
it_866897057706519#2023.05.15.09.19.55.000#000,it_866897057706519,POSITION,"13.092402458190918,80.1746597290039,null,GPS",0,1684142395000,2023-05-15 09:19:59.839000 UTC,2023-05-15T14:49:55
it_866897057706519#2023.05.15.09.19.55.000#1112,it_866897057706519,ENGINE RPM,857.0,0,1684142395000,2023-05-15 09:19:59.834000 UTC,2023-05-15T14:49:55
it_866897057706519#2023.05.15.09.19.55.000#331,it_866897057706519,IGNITION_STATUS,1,0,1684142395000,2023-05-15 09:19:59.549000 UTC,2023-05-15T14:49:55
it_866897057706519#2023.05.15.09.19.55.000#311,it_866897057706519,EXTERNAL BATTERY,13.587,0,1684142395000,2023-05-15 09:19:59.547000 UTC,2023-05-15T14:49:55
it_866897057706519#2023.05.15.09.19.45.000#000,it_866897057706519,POSITION,"13.092351913452148,80.17467498779297,null,GPS",0,1684142385000,2023-05-15 09:19:50.072000 UTC,2023-05-15T14:49:45
it_866897057706519#2023.05.15.09.19.45.000#1112,it_866897057706519,ENGINE RPM,1299.5,0,1684142385000,2023-05-15 09:19:50.066000 UTC,2023-05-15T14:49:45
it_866897057706519#2023.05.15.09.19.45.000#331,it_866897057706519,IGNITION_STATUS,1,0,1684142385000,2023-05-15 09:19:50.066000 UTC,2023-05-15T14:49:45
it_866897057706519#2023.05.15.09.19.45.000#311,it_866897057706519,EXTERNAL BATTERY,13.766,0,1684142385000,2023-05-15 09:19:50.062000 UTC,2023-05-15T14:49:45
